,0
0,Texas
1,Maryland
2,South Dakota
3,Nevada
4,Illinois
5,Colorado
6,Tennessee
7,New York
8,Arkansas
9,Pennsylvania
10,Oklahoma
11,Michigan
12,Mississippi
13,Alabama
14,Massachusetts
15,Oregon
16,Minnesota
17,New Mexico
18,New Jersey
19,Washington
20,New Hampshire
21,Kansas
22,Wisconsin
23,Wyoming
24,South Carolina
25,Utah
26,Idaho
27,Arizona
28,Iowa
29,West Virginia
30,Hawaii
31,Nebraska
32,Ohio
33,North Carolina
34,Virginia
35,Florida
36,North Dakota
37,Montana
38,Maine
39,Louisiana
40,Georgia
41,Indiana
42,Connecticut
43,California
44,Delaware
45,Missouri
46,Vermont
47,Rhode Island
48,Alaska
49,Kentucky
